timestamp,position,rotation,feed,velocity,grade
2020-05-18 20-16-35 ,4171.62,241.5,270.4,2.44,1
2020-05-18 20-16-36 ,4173.8,245,270.4,2.18,1
2020-05-18 20-16-37 ,4175.62,236.6,270.4,1.82,1
2020-05-18 20-16-38 ,4176.81,233.6,270.4,1.19,1
2020-05-18 20-16-39 ,4178.75,240.5,270.1,1.94,1
2020-05-18 20-16-40 ,4179.5,246.4,270.3,0.75,1
2020-05-18 20-16-41 ,4180.69,239.8,270.2,1.19,1
2020-05-18 20-16-42 ,4181.74,234.8,270.2,1.05,1
2020-05-18 20-16-43 ,4182.92,241.3,270.2,1.18,1
2020-05-18 20-16-44 ,4184.24,245.5,270.2,1.32,1
2020-05-18 20-16-45 ,4185.33,235,270.2,1.09,1
2020-05-18 20-16-46 ,4186.16,231.8,270.3,0.83,1
2020-05-18 20-16-47 ,4188.83,240.6,269.9,2.67,1
2020-05-18 20-16-48 ,4191.65,245.8,270.1,2.82,1
2020-05-18 20-16-49 ,4192.11,239.5,270.1,0.46,1
2020-05-18 20-16-50 ,4193.86,234.3,270.3,1.75,1
2020-05-18 20-16-51 ,4194.93,240,270.4,1.07,1
2020-05-18 20-16-52 ,4197.54,243.9,270.3,2.61,1
2020-05-18 20-16-53 ,4199.3,233.3,269.6,1.76,1
2020-05-18 20-16-54 ,4201.82,231.8,270.1,2.52,1
2020-05-18 20-16-55 ,4202.42,241.9,270.1,0.6,1
2020-05-18 20-16-56 ,4203.85,246.3,270.2,1.43,1
2020-05-18 20-16-57 ,4204.77,240.2,270,0.92,1
2020-05-18 20-16-58 ,4206.65,235.4,270,1.88,1
2020-05-18 20-16-59 ,4207.34,238.7,270.1,0.69,1
2020-05-18 20-17-00 ,4208.76,244.8,270.2,1.42,1
2020-05-18 20-17-01 ,4209.79,234.2,270.2,1.03,1
2020-05-18 20-17-02 ,4210.56,230.4,270.1,0.77,1
2020-05-18 20-17-03 ,4212.9,236,269.8,2.34,1
2020-05-18 20-17-04 ,4214.13,245.3,270.2,1.23,1
2020-05-18 20-17-05 ,4215.39,238,270,1.26,1
2020-05-18 20-17-06 ,4217.93,234.4,270.2,2.54,1
2020-05-18 20-17-07 ,4220.1,236.2,270.2,2.17,1
2020-05-18 20-17-08 ,4220.58,242.4,270.1,0.48,1
2020-05-18 20-17-09 ,4220.75,233.3,269.9,0.17,1
2020-05-18 20-17-10 ,4224.44,235.2,269.8,3.69,1
2020-05-18 20-17-11 ,4226.69,241.4,269.9,2.25,1
2020-05-18 20-17-12 ,4226.16,244.1,270.2,-0.53,1
2020-05-18 20-17-13 ,4227.15,236,269.9,0.99,1
2020-05-18 20-17-14 ,4228.43,232.9,270.1,1.28,1
2020-05-18 20-17-15 ,4230.17,238.4,270.3,1.74,1
2020-05-18 20-17-16 ,4231.86,242,270.3,1.69,1
2020-05-18 20-17-17 ,4233.02,234.1,270.2,1.16,1
2020-05-18 20-17-18 ,4233.48,232.4,270.1,0.46,1
2020-05-18 20-17-19 ,4237.03,236.2,270,3.55,1
2020-05-18 20-17-20 ,4239.99,240.6,270.1,2.96,1
2020-05-18 20-17-22 ,4240.97,235.8,270,0.98,1
2020-05-18 20-17-22 ,4241.5,231.2,270.1,0.53,1
2020-05-18 20-17-23 ,4241.66,235.7,270.3,0.16,1
2020-05-18 20-17-24 ,4244.38,243.8,270.2,2.72,1
2020-05-18 20-17-25 ,4245.9,234,269.9,1.52,1
2020-05-18 20-17-26 ,4248.35,231.8,270,2.45,1
2020-05-18 20-17-27 ,4249.9,237.3,270.1,1.55,1
2020-05-18 20-17-28 ,4251.48,239.7,270.4,1.58,1
2020-05-18 20-17-29 ,4251.98,232.8,270.1,0.5,1
2020-05-18 20-17-30 ,4252.33,231,270.1,0.35,1
2020-05-18 20-17-31 ,4254.08,234.2,270.1,1.75,1
2020-05-18 20-17-32 ,4255.59,242.8,270.3,1.51,1
2020-05-18 20-17-33 ,4258.5,232.3,270.1,2.91,1
2020-05-18 20-17-34 ,4261,232.1,270,2.5,1
2020-05-18 20-17-35 ,4263.69,236.7,269.9,2.69,1
2020-05-18 20-17-36 ,4266.41,238.7,270,2.72,1
2020-05-18 20-17-37 ,4267.88,233.4,270,1.47,1
2020-05-18 20-17-38 ,4268.57,231.2,270.4,0.69,1
2020-05-18 20-17-39 ,4269.5,232.1,270.2,0.93,1
2020-05-18 20-17-40 ,4270.39,239.7,270.1,0.89,1
2020-05-18 20-17-41 ,4271.23,227.7,269.8,0.84,1
2020-05-18 20-17-42 ,4273.64,232.4,269.9,2.41,1
2020-05-18 20-17-43 ,4275.92,236.4,270.3,2.28,1
2020-05-18 20-17-44 ,4277.59,237.7,270.2,1.67,1
2020-05-18 20-17-45 ,4278.74,231.4,269.8,1.15,1
2020-05-18 20-17-46 ,4280.61,234.4,270.2,1.87,1
2020-05-18 20-17-47 ,4282.94,235.6,270.2,2.33,1
2020-05-18 20-17-48 ,4285.95,236.8,270.2,3.01,1
2020-05-18 20-17-49 ,4286.91,226.1,270,0.96,1
2020-05-18 20-17-50 ,4287.48,228.6,269.7,0.57,1
2020-05-18 20-17-51 ,4291.39,233.2,269.9,3.91,1
2020-05-18 20-17-52 ,4292.2,238.6,270,0.81,1
2020-05-18 20-17-53 ,4293.69,234.2,270.1,1.49,1
2020-05-18 20-17-54 ,4295.46,232.6,270.2,1.77,1
2020-05-18 20-17-55 ,4297.21,235.4,270.1,1.75,1
2020-05-18 20-17-56 ,4297.62,234.6,270.3,0.41,1
2020-05-18 20-17-57 ,4298.7,227.2,270.1,1.08,1
2020-05-18 20-17-58 ,4300.03,228.7,269.9,1.33,1
2020-05-18 20-17-59 ,4302.21,230.7,270.2,2.18,1
2020-05-18 20-18-00 ,4303.75,234.8,270.1,1.54,1
2020-05-18 20-18-01 ,4305.88,234.9,270.3,2.13,1
2020-05-18 20-18-02 ,4308.97,229.4,270.2,3.09,1
2020-05-18 20-18-03 ,4310.85,224.1,270.2,1.88,1
2020-05-18 20-18-04 ,4312.27,202.6,270,1.42,1
2020-05-18 20-18-05 ,4311.88,201.9,270,-0.39,1
2020-05-18 20-18-06 ,4313,208,270.2,1.12,1
2020-05-18 20-18-07 ,4314.71,206.5,270.1,1.71,1
2020-05-18 20-18-08 ,4316.52,207.3,270.1,1.81,1
2020-05-18 20-18-09 ,4318.24,204.1,270,1.72,1
2020-05-18 20-18-10 ,4319.15,203.1,270,0.91,1
2020-05-18 20-18-11 ,4320.4,206.7,270.1,1.25,1
2020-05-18 20-18-12 ,4321.91,204.8,270.1,1.51,1
2020-05-18 20-18-13 ,4323.2,204.3,270.5,1.29,1
2020-05-18 20-18-14 ,4323.12,200.4,270.2,-0.08,1
2020-05-18 20-18-15 ,4325.46,201.6,269.8,2.34,1
2020-05-18 20-18-16 ,4328.2,205.5,269.9,2.74,1
2020-05-18 20-18-17 ,4329.58,204.4,270,1.38,1
2020-05-18 20-18-18 ,4330.4,201.1,270.3,0.82,1
2020-05-18 20-18-19 ,4331.28,200.8,269.9,0.88,1
2020-05-18 20-18-20 ,4333.96,202.3,269.9,2.68,1
2020-05-18 20-18-21 ,4335.2,204.5,269.7,1.24,1
2020-05-18 20-18-22 ,4336.35,205.1,269.8,1.15,1
2020-05-18 20-18-23 ,4337.05,201.2,270.2,0.7,1
2020-05-18 20-18-24 ,4337.71,202.5,270,0.66,1
2020-05-18 20-18-25 ,4339.98,206,269.6,2.27,1
2020-05-18 20-18-26 ,4342.53,205.3,269.9,2.55,1
2020-05-18 20-18-27 ,4344.5,206.1,269.8,1.97,1
2020-05-18 20-18-28 ,4344.43,201.6,270,-0.07,1
2020-05-18 20-18-29 ,4345.24,200.7,269.9,0.81,1
2020-05-18 20-18-30 ,4347.55,204.3,269.7,2.31,1
2020-05-18 20-18-31 ,4349.96,203.6,269.6,2.41,1
2020-05-18 20-18-32 ,4352.24,201.2,269.7,2.28,1
2020-05-18 20-18-33 ,4352.7,201.2,269.9,0.46,1
2020-05-18 20-18-34 ,4353.11,201.4,270,0.41,1
2020-05-18 20-18-35 ,4354.95,204.2,269.8,1.84,1
2020-05-18 20-18-36 ,4356.64,203.3,269.6,1.69,1
2020-05-18 20-18-37 ,4357.09,202.5,270,0.45,1
2020-05-18 20-18-38 ,4358.99,200.1,270,1.9,1
2020-05-18 20-18-39 ,4360.26,201.4,270,1.27,1
2020-05-18 20-18-40 ,4363.21,202.9,269.6,2.95,1
2020-05-18 20-18-41 ,4364.75,201.3,269.8,1.54,1
2020-05-18 20-18-42 ,4365.48,200.7,269.9,0.73,1
2020-05-18 20-18-43 ,4367.43,198.9,269.9,1.95,1
2020-05-18 20-18-44 ,4369.22,202.7,269.7,1.79,1
2020-05-18 20-18-45 ,4370.67,202.9,269.8,1.45,1
2020-05-18 20-18-46 ,4372.13,199.2,269.6,1.46,1
2020-05-18 20-18-47 ,4372.79,200.4,269.9,0.66,1
2020-05-18 20-18-48 ,4374.37,199.9,269.8,1.58,1
2020-05-18 20-18-49 ,4375.63,202.6,269.6,1.26,1
2020-05-18 20-18-50 ,4376.57,202.3,269.6,0.94,1
2020-05-18 20-18-51 ,4376.39,200.9,270,-0.18,1
2020-05-18 20-18-52 ,4378.19,200.5,270,1.8,1
2020-05-18 20-18-53 ,4380.12,202.1,269.7,1.93,1
2020-05-18 20-18-54 ,4382.1,203.5,269.6,1.98,1
2020-05-18 20-18-55 ,4383.7,201.1,269.8,1.6,1
2020-05-18 20-18-56 ,4384.71,200.9,269.9,1.01,1
2020-05-18 20-18-57 ,4386.27,196.8,269.9,1.56,1
2020-05-18 20-18-58 ,4388.46,199.9,269.6,2.19,1
2020-05-18 20-18-59 ,4390.79,201.6,269.7,2.33,1
